省份,地名,曲目编号,聚类,音阶,调式,协和度,曲折程度,单音长度变化,平均单音长度
江苏,六合县,①      ,0,五声,徵调,0.098564593,8.965559881,0.821040281,1.6
江苏,扬州市,②,0,五声,徵调,-0.014785992,5.500928169,0.687496103,2.426966292
江苏,扬州市,③,0,五声,徵调,0.269811321,7.439250319,0.967528352,1.764705882
吉林,舒兰县,④,0,五声,徵调,0.165306122,8.328369176,0.780847118,1.578947368
山东,安丘县,⑤,0,六声,徵调,0.259859155,5.10695398,0.578637562,2.153846154
山西,临汾市,⑥,0,清乐,徵调,-0.168275862,7.135073913,0.620371752,2.033898305
山西,闻喜县,⑦,0,五声,徵调,0.115827338,6.482559117,0.76055498,1.866666667
河南,商城县,⑧,0,五声,徵调,0.175555556,5.091074049,0.779193722,1.777777778
浙江,天台县,⑨,0,五声,徵调,0.163212435,5.222222561,0.68556546,2.5
福建,建阳县,⑩,0,五声,徵调,0.142857143,5.39740823,0.642045343,1.935483871
吉林,四平市、白城市,⑪,1,六声,徵调,0.205821918,3.618180684,0.632614901,2.666666667
吉林,梨树县,⑫,1,六声,徵调,0.196587031,8.857023095,0.528395073,2.786516854
山东,邹平县,⑬,1,六声,徵调,0.169863014,3.493914664,0.621462209,2.891566265
河北,南皮县,⑭,1,六声,徵调,0.08534202,8.289924904,0.687689368,2.285714286
河北,昌黎县,⑮,1,清乐,徵调,0.224657534,7.630541543,0.549647331,2.202898551
河北,滦县,⑯,1,五声,商调,0.199076923,4.202437273,0.623241327,2.75
浙江,开化县,⑰,1,六声,徵调,0.048947368,7.283874899,0.814612638,1.758241758
辽宁,辽阳县,⑱,1,五声,徵调,0.251396648,6.559106266,0.912120424,3.162790698
辽宁,长海县,⑲,1,五声,徵调,0.195833333,5.173813446,0.666692708,2.448979592
辽宁,东港市,⑳,1,清乐,徵调,0.195238095,5.742377691,0.639832645,2.775510204
黑龙江,齐齐哈尔市,㉑,1,五声,徵调,0.095833333,6.029021307,0.794355901,2.804123711
黑龙江,齐齐哈尔市,㉒,1,六声,徵调,0.235433071,2.328864978,0.493441207,2.918918919
黑龙江,哈尔滨市,㉓,1,六声,羽调,0.054945055,8.02527594,0.775552115,2.859375
